HOSPITAL NAME,CITY,AREA,ADDRESS,DOCTORS,CONTACT,Lat,Long,Google Map Link
Al Rehman Medicure Clinic,Multan,,"Al Rehman Medicure Clinic, Hasnabad Gate No 1, 0, Multan",1,042-32591432,30.198473,71.468461,https://www.google.com/maps/search/?api=1&query=Al+Rehman+Medicure+Clinic%2C+Hasnabad+Gate+No+1%2C+0%2C+Multan
The Physio Clinic,Multan,Adali Colony,"The Physio Clinic, Khan Centre, Abdali Rd, Adali Colony, Multan",1,(061) 4548888,30.19236334,71.44794479,https://www.google.com/maps/search/?api=1&query=The+Physio+Clinic%2C+Khan+Centre%2C+Abdali+Rd%2C+Adali+Colony%2C+Multan
National Diagnostic Center,Multan,Ahsan Colony,"National Diagnostic Center, Suraj Miani Road, Ahsan Colony, Multan",3,(061) 4506047,30.21262034,71.44685332,https://www.google.com/maps/search/?api=1&query=National+Diagnostic+Center%2C+Suraj+Miani+Road%2C+Ahsan+Colony%2C+Multan
Munshi Clinic,Multan,Ahsan Colony,"Munshi Clinic, Ghaus Ul Azam Road, Ahsan Colony, Multan",1,(061) 4545983,30.198473,71.468461,https://www.google.com/maps/search/?api=1&query=Munshi+Clinic%2C+Ghaus+Ul+Azam+Road%2C+Ahsan+Colony%2C+Multan
Dental Expressions Hospital,Multan,Ahsan Colony Gillani Colony,"Dental Expressions Hospital, Multi Care Complex, District Jail Road,, Ahsan Colony Gillani Colony, Multan",1,0322 6330099,31.5359423,74.3398596,https://www.google.com/maps/search/?api=1&query=Dental+Expressions+Hospital%2C+Multi+Care+Complex%2C+District+Jail+Road%2C%2C+Ahsan+Colony+Gillani+Colony%2C+Multan
Multan Ultrasound And Mammography Service Hospital,Multan,Ahsan Colony Gillani Colony,"Multan Ultrasound And Mammography Service Hospital, Jail Rd, Ahsan Colony Gillani Colony, Ahsan Colony Gillani Colony, Multan",-,614572601,24.896028,67.056846,https://www.google.com/maps/search/?api=1&query=Multan+Ultrasound+And+Mammography+Service+Hospital%2C+Jail+Rd%2C+Ahsan+Colony+Gillani+Colony%2C+Ahsan+Colony+Gillani+Colony%2C+Multan
Rehman Surgicare Hospital,Multan,Airport Road,"Rehman Surgicare Hospital, New Airpot Road, Jamilabad Multan, Airport Road, Multan",-,3111222398,30.2041065,71.4240405,https://www.google.com/maps/search/?api=1&query=Rehman+Surgicare+Hospital%2C+New+Airpot+Road%2C+Jamilabad+Multan%2C+Airport+Road%2C+Multan
Shahab Homoeopathic Clinic,Multan,Airport Road,"Shahab Homoeopathic Clinic, Airport Rd Haji Pura, Airport Road, Multan",1,3409445387,30.19949291,71.42611836,https://www.google.com/maps/search/?api=1&query=Shahab+Homoeopathic+Clinic%2C+Airport+Rd+Haji+Pura%2C+Airport+Road%2C+Multan
Doctor Abdul Rehman Clinic,Multan,Al Raheem Colony,"Doctor Abdul Rehman Clinic, Unnamed Road, Al Raheem Colony, Multan",-,3000730444,30.187712,71.427255,https://www.google.com/maps/search/?api=1&query=Doctor+Abdul+Rehman+Clinic%2C+Unnamed+Road%2C+Al+Raheem+Colony%2C+Multan
Khan Medical City Hospital,Multan,Al Rahim Colony,"Khan Medical City Hospital, Nishtar Road Oppo. Govt Muslim High School, Al Rahim Colony, Multan",1,3006305767,25.41487,68.36894,https://www.google.com/maps/search/?api=1&query=Khan+Medical+City+Hospital%2C+Nishtar+Road+Oppo.+Govt+Muslim+High+School%2C+Al+Rahim+Colony%2C+Multan
Al Khaliq Hospital,Multan,Al Rahim Colony,"Al Khaliq Hospital, Nishtar Road Oppo. Rehman Medical Complex, Al Rahim Colony, Multan",14,3358782386,30.2024,71.4498,https://www.google.com/maps/search/?api=1&query=Al+Khaliq+Hospital%2C+Nishtar+Road+Oppo.+Rehman+Medical+Complex%2C+Al+Rahim+Colony%2C+Multan
Meer Wasiq Buzdar Clinic,Multan,Al Rahim Colony,"Meer Wasiq Buzdar Clinic, Nishtar Road, Al Rahim Colony, Multan",3,3111222398,30.20346861,71.44576174,https://www.google.com/maps/search/?api=1&query=Meer+Wasiq+Buzdar+Clinic%2C+Nishtar+Road%2C+Al+Rahim+Colony%2C+Multan
Haleema Hospital Complex,Multan,Al Rahim Colony,"Haleema Hospital Complex, Nishtar Road, Al Rahim Colony, Multan",5,0302 8637774,30.20346861,71.44576174,https://www.google.com/maps/search/?api=1&query=Haleema+Hospital+Complex%2C+Nishtar+Road%2C+Al+Rahim+Colony%2C+Multan
Chest Care Clinic,Multan,Al Rahim Colony,"Chest Care Clinic, Nishtar Road, Dost Plaza, Clinic No. 54, Al Rahim Colony, Multan",2,0315 2272222,25.41487,68.36894,https://www.google.com/maps/search/?api=1&query=Chest+Care+Clinic%2C+Nishtar+Road%2C+Dost+Plaza%2C+Clinic+No.+54%2C+Al+Rahim+Colony%2C+Multan
Skin And Laser Clinic,Multan,Al Rahim Colony,"Skin And Laser Clinic, Dost Plaza, Al Rahim Colony, Multan",-,061 4582894,25.41487,68.36894,https://www.google.com/maps/search/?api=1&query=Skin+And+Laser+Clinic%2C+Dost+Plaza%2C+Al+Rahim+Colony%2C+Multan
Hussain Hospital,Multan,Al Rahim Colony,"Hussain Hospital, Nishtar Road Near Omer Hospital, Al Rahim Colony, Multan",2,3336057214,30.187665,71.44628,https://www.google.com/maps/search/?api=1&query=Hussain+Hospital%2C+Nishtar+Road+Near+Omer+Hospital%2C+Al+Rahim+Colony%2C+Multan
Chugtai Lab Hospital,Multan,Al Rahim Colony,"Chugtai Lab Hospital, Dost Medical Complex Nishtar Road, Al Rahim Colony, Multan",-,3467698947,30.20346861,71.44576174,https://www.google.com/maps/search/?api=1&query=Chugtai+Lab+Hospital%2C+Dost+Medical+Complex+Nishtar+Road%2C+Al+Rahim+Colony%2C+Multan
Ramzi Brain And Spine Center,Multan,Al Rahim Colony,"Ramzi Brain And Spine Center, Nishtar Rd, Al Rahim Colony, Multan",2,3216365330,30.20346861,71.44576174,https://www.google.com/maps/search/?api=1&query=Ramzi+Brain+And+Spine+Center%2C+Nishtar+Rd%2C+Al+Rahim+Colony%2C+Multan
Haleema Hospital,Multan,Al Rahim Colony,"Haleema Hospital, Dost Medical Complex Nishtar Road, Al Rahim Colony, Multan",6,3346010831,30.20346861,71.44576174,https://www.google.com/maps/search/?api=1&query=Haleema+Hospital%2C+Dost+Medical+Complex+Nishtar+Road%2C+Al+Rahim+Colony%2C+Multan
Diabetic Eye Centre,Multan,Al Rahim Colony,"Diabetic Eye Centre, Office No 50, 1St Floor, Dost Plaza, Nishtar Rd, Al Rahim Colony, Multan",1,3046757024,30.20346861,71.44576174,https://www.google.com/maps/search/?api=1&query=Diabetic+Eye+Centre%2C+Office+No+50%2C+1St+Floor%2C+Dost+Plaza%2C+Nishtar+Rd%2C+Al+Rahim+Colony%2C+Multan
Dr Asaad Saleem Punjab Eye Care Clinic,Multan,Al Rahim Colony,"Dr Asaad Saleem Punjab Eye Care Clinic, Zainab Arcade, Ghauri Laboratory Plaza, Nishtar Road, Al Rahim Colony, Multan",2,3162896123,30.20346861,71.44576174,https://www.google.com/maps/search/?api=1&query=Dr+Asaad+Saleem+Punjab+Eye+Care+Clinic%2C+Zainab+Arcade%2C+Ghauri+Laboratory+Plaza%2C+Nishtar+Road%2C+Al+Rahim+Colony%2C+Multan
Dr Amir Clinic,Multan,Al Rahim Colony,"Dr Amir Clinic, Nishtar Road, Al Rahim Colony, Multan",-,3008635330,30.20346861,71.44576174,https://www.google.com/maps/search/?api=1&query=Dr+Amir+Clinic%2C+Nishtar+Road%2C+Al+Rahim+Colony%2C+Multan
Jinnah Hospital,Multan,Al Rahim Colony,"Jinnah Hospital, Nishtar Road, Al Rahim Colony, Multan",3,614581123,30.20346861,71.44576174,https://www.google.com/maps/search/?api=1&query=Jinnah+Hospital%2C+Nishtar+Road%2C+Al+Rahim+Colony%2C+Multan
Al-Khaliq Hospital (Multan),Multan,Al Rahim Colony,"Al-Khaliq Hospital (Multan), Nishtar Road, Al Rahim Colony, Multan, Al Rahim Colony, Multan",3,3111222398,30.20346861,71.44576174,https://www.google.com/maps/search/?api=1&query=Al-Khaliq+Hospital+%28Multan%29%2C+Nishtar+Road%2C+Al+Rahim+Colony%2C+Multan%2C+Al+Rahim+Colony%2C+Multan
Ali Physiotherapy Clinic,Multan,Al Rahim Colony,"Ali Physiotherapy Clinic, Zainab Plaza, Al Rahim Colony, Multan",1,3004022024,25.41487,68.36894,https://www.google.com/maps/search/?api=1&query=Ali+Physiotherapy+Clinic%2C+Zainab+Plaza%2C+Al+Rahim+Colony%2C+Multan
Zaha Aesthetics Hospital,Multan,Al Rahim Colony,"Zaha Aesthetics Hospital, Dost Plaza, Nishtar Rd, Al Rahim Colony, Multan",1,3020747554,30.20346861,71.44576174,https://www.google.com/maps/search/?api=1&query=Zaha+Aesthetics+Hospital%2C+Dost+Plaza%2C+Nishtar+Rd%2C+Al+Rahim+Colony%2C+Multan
Amin Clinic,Multan,Al Rahim Colony,"Amin Clinic, Nishtar Road Oppo. Nishtar Park, Al Rahim Colony, Multan",-,3216815709,30.20346861,71.44576174,https://www.google.com/maps/search/?api=1&query=Amin+Clinic%2C+Nishtar+Road+Oppo.+Nishtar+Park%2C+Al+Rahim+Colony%2C+Multan
Ghazi Lab Hospital,Multan,Al Rahim Colony,"Ghazi Lab Hospital, 4-2 Nishtar Rd, Al Rahim Colony, Multan",1,0311 1222398,30.20346861,71.44576174,https://www.google.com/maps/search/?api=1&query=Ghazi+Lab+Hospital%2C+4-2+Nishtar+Rd%2C+Al+Rahim+Colony%2C+Multan
Hajra Brain And Spine Centre,Multan,Al Rahim Colony,"Hajra Brain And Spine Centre, Nishter Road, Al Rahim Colony, Multan",2,3008586799,30.202295,71.445373,https://www.google.com/maps/search/?api=1&query=Hajra+Brain+And+Spine+Centre%2C+Nishter+Road%2C+Al+Rahim+Colony%2C+Multan
Imran Altaf Clinic,Multan,Al Rahim Colony,"Imran Altaf Clinic, Nishtar Rd, Al Rahim Colony, Multan",-,4232591427,30.20346861,71.44576174,https://www.google.com/maps/search/?api=1&query=Imran+Altaf+Clinic%2C+Nishtar+Rd%2C+Al+Rahim+Colony%2C+Multan
Prince Hotel Hospital,Multan,Al Rahim Colony,"Prince Hotel Hospital, Nishtar Road, Al-Rahim Colony, Multan",1,nill,30.20346861,71.44576174,https://www.google.com/maps/search/?api=1&query=Prince+Hotel+Hospital%2C+Nishtar+Road%2C+Al-Rahim+Colony%2C+Multan
Uro Diagnostic Center,Multan,Al Rahim Colony,"Uro Diagnostic Center, Nishtar Road, Al Rahim Colony, Multan",-,nill,30.20346861,71.44576174,https://www.google.com/maps/search/?api=1&query=Uro+Diagnostic+Center%2C+Nishtar+Road%2C+Al+Rahim+Colony%2C+Multan
Faiz Hospital,Multan,Aliabad Mohallah,"Faiz Hospital, 5F5W+W7V Faiz Hospital, Gulashan-E-Faiz, Aliabad Mohallah, Multan",1,3154826800,30.159702,71.49559,https://www.google.com/maps/search/?api=1&query=Faiz+Hospital%2C+5F5W%2BW7V+Faiz+Hospital%2C+Gulashan-E-Faiz%2C+Aliabad+Mohallah%2C+Multan
