name,company,pack_size,link,sale_price,mrp,letter
Arnil,Brookes,2x10's,https://dawaai.pk/medicine/arnil-1-34352.html,68,75,a
Artifen,Abbott Laboratories,10x10's,https://dawaai.pk/medicine/artifen-34359.html,69,77,a
Advacort Ointment,Atco,0.10%,https://dawaai.pk/medicine/advacort-ointment-34383.html,144,160,a
AV-Sartan 10 mg/ 160 mg,Barrett,14,https://dawaai.pk/medicine/av-sartan-10-mg-160-mg-34937.html,540,600,a
Aidra,Wilshire,3x10's,https://dawaai.pk/medicine/aidra-2-35514.html,360,400,a
Acabel,Continental Pharma,1x10's,https://dawaai.pk/medicine/acabel-1-35552.html,113,125,a
Acabel,Continental Pharma,1x10's,https://dawaai.pk/medicine/acabel-2-35553.html,188,209,a
Atcam,Atco,10's,https://dawaai.pk/medicine/atcam-35554.html,198,220,a
Apranax,Martin Dow,2x10's,https://dawaai.pk/medicine/apranax-35746.html,175,194,a
Aproxen DS,Schazoo Pharmaceuticals,2x10's,https://dawaai.pk/medicine/aproxen-1-35751.html,175,195,a
Axicam,Mass-PH Health,1x20's,https://dawaai.pk/medicine/axicam-35980.html,226,252,a
Adronil,Searle,1 Ampx3ml,https://dawaai.pk/medicine/adronil-3-mg-3-ml-36366.html,"2,008","2,231",a
Aurora,Ferozsons,1x10's,https://dawaai.pk/medicine/aurora-tab-5mg-10s-36775.html,329,366,a
Abriva 400mg,CCL,28's,https://dawaai.pk/medicine/abriva-400mg-37111.html,"5,281","5,868",a
Anplag,Pharm Evo,2x10's,https://dawaai.pk/medicine/anplag-90mg-37117.html,707,786,a
Arixtra 2.5mg Pre filled Syringe 5ml,Aspin Pharma,1,https://dawaai.pk/medicine/arixtra-25mg-37175.html,"3,915","4,350",a
Anvol,Aspin Pharma,1 x 14's,https://dawaai.pk/medicine/anvol-10mg-37208.html,294,327,a
Anvol 2.5mg,Aspin Pharma,1 x 14's,https://dawaai.pk/medicine/anvol-25mg-37209.html,140,155,a
Awzi,Amson,1x10's,https://dawaai.pk/medicine/awzi-250mg-37242.html,239,266,a
Amlo-Q,High-Q,2x10's,https://dawaai.pk/medicine/amlo-q-5mg-1-37286.html,84,94,a
Adablizer,Adamjee Pharmaceuticals,3x10's,https://dawaai.pk/medicine/adablizer-10mg-37323.html,120,133,a
Acnes Scar Care,Rohto Mentholatum,12gm,https://dawaai.pk/medicine/acnes-scar-care-37384.html,622,691,a
Aqua D,Matrix,10ml,https://dawaai.pk/medicine/d-max-aqua-drops-400id-10ml-37531.html,396,440,a
AD Folic 600mcg,Pharm Evo,3x10's,https://dawaai.pk/medicine/ad-folic-od-600mcg-37539.html,203,225,a
Adapco Forte Gel 15G,Atco,1's,https://dawaai.pk/medicine/adapco-forte-gel-3mg-37615.html,391,435,a
